row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
92,69,601.51,507.82,1769.99,1519.28,32,0,13.16,45.08,45.14,145.01,80.07,169.01,21.04,0.12,27.49,24.6,0.89,0.81,0.51,0.57,0.45,0.79,0.73,0.57,0.7,0.41,0.54,0.81,0.45,0.53,0.36,0.42
92,70,1016.56,924.44,2352.67,2160.39,52,5,20.34,66.16,72.17,237.92,113.44,237.92,35.04,0.35,36.43,51.61,0.71,0.96,0.69,0.79,0.59,0.75,0.76,0.59,0.68,0.57,0.42,0.96,0.79,0.89,0.82,0.5
92,71,1135.39,790.91,3232.33,2779.09,42,14,18.98,65.9,66.74,225.13,116.31,230.78,31.45,0.17,47.33,34.09,0.72,0.87,0.7,0.78,0.61,0.77,0.87,0.78,0.95,0.76,0.46,0.85,0.61,0.66,0.53,0.62
96,66,919.1,685.49,2455.75,2342.79,42,9,16.12,68.88,61.53,252.73,105.83,260.73,27.88,0.17,37.03,37.27,0.99,0.93,0.58,0.59,0.56,0.95,0.93,0.56,0.6,0.55,0.5,0.87,0.59,0.68,0.59,0.42
96,67,687.43,564.28,2284.26,1889.4,38,1,14.81,43.93,51.76,146.79,88.14,207.2,26.44,0.28,35.53,26.21,0.74,0.93,0.51,0.58,0.44,0.75,0.93,0.58,0.64,0.55,0.5,0.78,0.44,0.43,0.39,0.54
96,68,203.5,117.58,603.76,558.0,8,0,7.78,52.89,27.77,201.72,48.25,201.72,14.17,0.27,19.76,17.9,0.91,0.62,0.27,0.27,0.27,0.98,0.49,0.27,0.21,0.27,0.42,0.62,0.27,0.26,0.23,0.33
97,66,2092.17,2041.41,5745.03,4954.98,58,33,25.11,70.36,88.73,287.42,156.54,299.44,39.57,0.04,54.67,49.88,0.91,1.0,0.76,0.77,0.74,0.96,1.0,0.74,0.87,0.75,0.46,0.95,0.77,0.91,0.78,0.46
97,67,238.23,132.44,1401.61,1097.89,7,0,5.47,40.02,18.76,149.22,36.0,149.22,9.55,0.01,6.57,10.85,0.61,0.45,0.13,0.13,0.12,0.96,0.25,0.12,0.22,0.04,0.04,0.45,0.13,0.12,0.11,0.17
97,68,533.08,420.03,1567.57,1461.51,26,0,12.68,76.6,47.38,306.92,81.7,306.92,21.67,0.14,30.85,24.59,0.8,0.77,0.49,0.52,0.45,0.87,0.77,0.52,0.53,0.47,0.58,0.56,0.45,0.53,0.36,0.46
98,66,1667.06,1669.4,4005.56,3844.95,50,25,22.35,60.15,78.53,208.64,126.37,275.85,34.95,0.1,46.43,35.74,0.77,0.87,0.68,0.7,0.66,0.94,0.87,0.7,0.88,0.67,0.33,0.86,0.66,0.82,0.56,0.46
