row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
4,52,4993.31,5100.99,11475.57,10526.11,57,43,49.04,147.1,186.09,505.14,234.51,516.72,72.21,0.36,122.47,76.26,0.62,1,0.85,0.94,0.75,0.81,1,0.94,1,0.96,0.75,0.93,0.75,0.95,0.76,0.29
5,50,3375.17,1344.12,11174.48,10657.24,43,30,31.88,110.3,106.96,388.58,155.08,428.06,48.88,0.47,44.87,91.71,0.49,1,0.71,0.78,0.64,0.82,1,0.64,0.71,0.66,0.46,1,0.78,0.77,0.82,0.75
5,51,4114.81,4230.16,10730.7,10169.8,45,36,37.19,116.5,126.15,411.66,179.11,415.77,62.04,0.48,35.57,112.68,0.32,1,0.68,0.93,0.44,0.47,0.87,0.44,0.38,0.48,0.5,1,0.93,1,1,0.62
5,52,3563.73,2098.42,11394.19,10153.7,44,33,35.65,112.79,130.54,418.62,172.17,424.73,47.69,0.13,85.89,84.76,0.99,1,0.73,0.78,0.69,0.88,1,0.69,0.69,0.74,0.58,1,0.78,0.85,0.86,0.5
65,82,4.84,1.52,45.08,37.59,0,0,0.97,3.47,3.21,15.96,5.11,21.24,1.26,0.15,1.5,2.05,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,83,8.54,2.05,74.81,59.1,0,0,1.02,3.05,3.64,15.54,6.54,25.14,1.64,0.29,1.97,2.35,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,84,13.72,3.75,116.23,84.89,0,0,1.68,6.13,5.87,22.22,8.74,30.99,2.3,0.4,1.99,3.68,0.54,0.07,0,0.01,0,0,0,0,0,0,0,0.07,0.01,0,0,0.04
66,82,2478.47,2374.67,5285.23,5075.95,54,36,33.1,88.6,131.78,383.26,181.34,431.3,53.69,0.36,51.15,103.09,0.5,1,0.77,0.79,0.74,0.94,1,0.74,0.87,0.71,0.5,1,0.79,0.76,0.81,0.83
66,83,894.86,143.68,4312.44,3514.79,24,14,18.36,69.3,72.78,266.68,100.57,336.58,28.16,0.38,19.59,58.92,0.33,1,0.49,0.5,0.49,0.98,0.59,0.49,0.75,0.27,0.29,1,0.5,0.31,0.54,0.83
66,84,4282.59,4667.23,6632.1,6425.4,64,59,48.5,90.44,154.11,320.14,200.07,358.04,79.63,0.77,18.51,133.56,0.14,1,0.65,0.94,0.35,0.37,0.71,0.35,0.39,0.25,0.46,1,0.94,1,1,0.71
67,82,2608.44,2682.11,6146.12,5446.93,55,46,41.91,101.12,179.52,445.13,225.22,482.76,65.58,0.26,75.5,127.63,0.59,1,0.81,0.86,0.75,0.87,1,0.86,1,0.92,0.46,1,0.75,0.67,0.76,0.92
67,83,1531.31,1313.81,4637.08,4068.25,40,26,25.46,82.08,100.48,333.16,134.18,396.69,40.95,0.43,38.41,75.28,0.51,1,0.75,0.75,0.75,1,0.84,0.75,0.93,0.61,0.58,1,0.75,0.74,0.76,0.75
67,84,3214.06,3035.41,6206.1,5961.07,63,45,33.84,106.78,119.27,439.52,193.98,439.52,75.62,0.67,32.17,99.32,0.32,1,0.71,0.94,0.49,0.52,0.93,0.49,0.51,0.45,0.5,1,0.94,0.99,1,0.71
