row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
98,50,3615.06,3847.92,8274.88,7920.94,44,37,30.24,58.29,94.59,212.0,131.92,307.14,62.8,0.89,81.59,5.44,0.07,0.93,0.49,0.88,0.11,0.13,0.93,0.88,1.0,1.0,0.38,0.32,0.11,0.19,0.03,0.08
98,51,2674.39,1502.16,7812.28,7455.55,37,28,23.17,82.56,76.82,293.0,122.59,401.14,32.8,0.38,47.91,27.61,0.58,0.97,0.68,0.79,0.58,0.73,0.97,0.79,0.92,0.78,0.5,0.92,0.58,0.63,0.41,0.75
99,49,1659.16,85.91,7154.96,6970.95,25,18,14.05,60.1,48.81,219.86,85.14,351.14,31.47,0.6,9.15,48.33,0.19,0.88,0.5,0.8,0.2,0.25,0.65,0.2,0.26,0.09,0.29,0.88,0.8,1.0,0.79,0.38
99,50,1334.66,87.57,7897.67,7232.42,21,14,13.42,59.65,54.2,222.58,85.69,379.29,22.87,0.15,25.07,31.78,0.79,0.93,0.48,0.56,0.4,0.71,0.91,0.4,0.39,0.36,0.5,0.93,0.56,0.57,0.48,0.71
99,51,1775.86,70.52,7455.95,7273.74,25,21,14.73,66.9,54.6,336.0,90.58,405.14,32.08,0.5,11.08,48.26,0.23,0.93,0.53,0.79,0.27,0.33,0.62,0.27,0.32,0.11,0.42,0.93,0.79,1.0,0.77,0.38
100,49,3.48,0.2,29.93,23.37,0,0,0.3,2.49,0.92,6.0,2.66,15.71,0.95,0.58,0.65,0.39,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,50,5.32,0.3,46.58,36.98,0,0,0.5,3.8,1.48,8.64,3.66,23.0,1.17,0.41,1.02,0.72,0.71,0.07,0.0,0.01,0.0,0.0,0.07,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
100,51,4.12,0.54,35.73,26.09,0,0,0.45,1.89,1.55,6.14,3.14,19.86,0.87,0.35,0.84,0.63,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,41,0.3,0.0,4.99,3.21,0,0,0.09,1.44,0.25,3.0,0.53,8.0,0.09,0.17,0.23,0.1,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,42,0.41,0.0,2.77,2.19,0,0,0.24,1.11,0.7,3.0,0.92,7.0,0.33,0.81,0.54,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,43,0.11,0.0,0.44,0.35,0,0,0.14,0.33,0.42,1.0,0.46,1.29,0.14,1.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,41,1124.66,807.54,3114.44,2971.34,38,18,14.6,48.11,53.02,171.0,82.17,228.0,24.53,0.39,19.83,40.6,0.49,0.89,0.55,0.74,0.35,0.48,0.77,0.35,0.42,0.28,0.33,0.89,0.74,1.0,0.65,0.33
92,42,190.17,10.58,2870.22,2042.0,6,3,4.42,31.0,16.42,109.0,25.02,211.0,10.06,0.6,11.27,3.62,0.32,0.73,0.17,0.25,0.08,0.31,0.73,0.25,0.16,0.12,0.71,0.49,0.08,0.1,0.02,0.12
92,43,0.36,0.22,2.22,1.66,0,0,0.28,1.0,1.06,4.0,1.23,4.0,0.49,0.58,0.67,0.29,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
