参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0752, 测试集:0.1067, 下限值:0.1067, 差异:0.0315
参数:{'learning_rate': 0.05, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0763, 测试集:0.1080, 下限值:0.1080, 差异:0.0317
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0900, 测试集:0.1168, 下限值:0.1168, 差异:0.0268
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0886, 测试集:0.1153, 下限值:0.1153, 差异:0.0267
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0895, 测试集:0.1168, 下限值:0.1168, 差异:0.0273
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0902, 测试集:0.1151, 下限值:0.1151, 差异:0.0249
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0666, 测试集:0.1043, 下限值:0.1043, 差异:0.0377
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0672, 测试集:0.1028, 下限值:0.1028, 差异:0.0356
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0666, 测试集:0.1016, 下限值:0.1016, 差异:0.0350
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0679, 测试集:0.1038, 下限值:0.1038, 差异:0.0359
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0815, 测试集:0.1126, 下限值:0.1126, 差异:0.0312
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0812, 测试集:0.1114, 下限值:0.1114, 差异:0.0302
