name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,row_diff_mean,row_diff_max,col_diff_mean,col_diff_max,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
05.02.25#out1#mnr_input0012,60,218,77.38,300.52,231.52,52,0,0,3.76,13.32,13.44,49.72,29.4,54.28,7.81,7.81,27.07,0.0,6.78,19.71,0.0,0.13,6.96,9.55,2.71,7.98,13.93,3.87,7.98,0.87,0.32,0.11,0.12,0.1,0.87,0.15,0.06,0.1,0.17,0.04,0.04,0.32,0.0,0.12,0.06,0.06,0.33,4.44,6.46,7.2,12.83,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,61,218,104.29,325.28,258.66,35,0,0,5.0,16.51,18.4,55.86,35.9,81.87,9.36,9.36,25.71,0.21,8.27,25.0,0.29,0.12,11.61,15.28,6.16,11.4,15.26,4.81,11.61,0.98,0.29,0.18,0.2,0.16,0.81,0.29,0.1,0.2,0.17,0.12,0.38,0.25,0.04,0.16,0.17,0.12,0.21,4.38,8.61,4.05,7.05,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,57,219,140.75,364.68,318.34,24,0,0,7.1,25.45,25.93,85.36,45.44,85.36,12.41,12.41,31.43,0.0,9.29,28.0,0.0,0.25,16.62,23.83,12.12,14.56,22.17,9.17,16.62,0.88,0.42,0.25,0.28,0.21,0.77,0.42,0.13,0.28,0.23,0.21,0.5,0.4,0.08,0.21,0.16,0.17,0.42,3.94,8.12,6.4,14.19,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,58,219,120.4,237.41,227.29,25,0,0,7.12,20.11,26.97,81.0,40.43,81.0,12.21,12.21,34.64,0.0,8.57,36.29,0.0,0.3,20.8,31.77,10.1,9.24,13.33,6.76,20.8,0.44,0.44,0.21,0.3,0.13,0.43,0.44,0.17,0.3,0.16,0.29,0.62,0.21,0.02,0.13,0.13,0.08,0.21,4.49,11.12,5.7,15.28,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,59,219,76.42,232.27,185.27,45,0,0,5.76,19.45,19.55,67.71,33.49,67.71,9.29,9.29,28.86,0.0,7.51,28.0,0.93,0.19,14.65,20.5,10.14,8.46,14.94,4.33,14.65,0.58,0.33,0.17,0.23,0.12,0.51,0.33,0.12,0.23,0.11,0.18,0.58,0.25,0.01,0.12,0.06,0.06,0.33,2.86,7.94,7.1,12.56,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,61,219,77.22,270.03,213.19,45,0,0,4.03,13.32,13.8,48.29,28.09,54.0,8.37,8.37,28.0,0.0,6.21,21.0,0.0,0.26,8.93,10.67,6.69,6.49,9.58,4.67,8.93,0.73,0.27,0.14,0.16,0.13,0.8,0.27,0.08,0.16,0.19,0.07,0.25,0.22,0.08,0.13,0.19,0.03,0.17,3.38,9.25,3.86,10.37,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,57,220,70.38,157.76,140.02,49,0,0,4.46,10.1,15.97,40.07,29.34,48.36,7.9,7.9,25.14,0.14,6.88,21.0,0.0,0.13,8.55,12.57,5.07,8.49,12.04,5.5,8.55,0.99,0.22,0.12,0.14,0.09,0.65,0.2,0.01,0.09,0.1,0.06,0.12,0.22,0.07,0.14,0.08,0.06,0.42,2.65,4.63,3.53,9.45,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,58,220,80.85,244.84,216.73,45,0,0,4.91,14.0,16.19,49.78,30.71,62.0,8.39,8.39,23.0,0.0,7.04,27.0,0.0,0.16,11.27,12.0,10.17,9.73,13.33,7.67,11.27,0.86,0.26,0.16,0.19,0.13,0.69,0.26,0.1,0.19,0.15,0.11,0.42,0.17,0.07,0.13,0.08,0.09,0.33,4.93,16.0,6.7,14.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,59,220,83.89,199.95,176.88,46,0,0,5.29,14.22,19.66,58.0,33.92,60.0,10.31,10.31,28.0,0.0,7.23,23.0,0.0,0.3,13.67,24.33,4.33,7.71,11.17,3.0,13.67,0.56,0.38,0.16,0.22,0.09,0.43,0.38,0.0,0.22,0.16,0.16,0.46,0.16,0.01,0.09,0.11,0.05,0.12,2.84,5.75,4.98,8.75,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,60,220,66.69,194.99,174.68,48,0,0,3.76,12.44,12.82,46.0,26.41,53.0,7.67,7.67,27.0,0.0,5.77,16.0,0.0,0.25,9.1,11.17,7.0,4.01,6.02,1.52,9.1,0.44,0.23,0.1,0.15,0.06,0.43,0.23,0.05,0.15,0.1,0.07,0.38,0.12,0.0,0.06,0.12,0.0,0.04,3.88,7.62,4.91,15.12,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
